Биграмма	Частота	Вероятность
аа	38	0,000439103
аб	132	0,00152531
ав	511	0,00590478
аг	102	0,00117865
ад	165	0,00190663
ае	141	0,0016293
аж	185	0,00213774
аз	430	0,0049688
аи	144	0,00166397
ай	46	0,000531546
ак	509	0,00588167
ал	785	0,00907095
ам	306	0,00353594
ан	666	0,00769586
ао	125	0,00144442
ап	256	0,00295817
ар	294	0,00339727
ас	558	0,00644789
ат	507	0,00585856
ау	49	0,000566212
аф	43	0,00049688
ах	105	0,00121331
ац	23	0,000265773
ач	120	0,00138664
аш	97	0,00112087
ащ	31	0,000358216
аэ	28	0,00032355
аю	71	0,00082043
ая	316	0,00365149
ба	84	0,000970649
бб	9	0,000103998
бв	20	0,000231107
бг	1	0,0000115554
бе	238	0,00275017
бж	1	0,0000115554
би	78	0,000901317
бк	27	0,000311994
бл	89	0,00102843
бм	5	0,0000577767
бн	39	0,000450659
бо	279	0,00322394
бп	1	0,0000115554
бр	138	0,00159464
бс	22	0,000254218
бт	1	0,0000115554
бу	90	0,00103998
бх	7	0,0000808875
бщ	29	0,000335105
бъ	12	0,000138664
бы	296	0,00342038
бь	4	0,0000462214
бэ	2	0,0000231107
бя	35	0,000404437
ва	530	0,00612434
вб	18	0,000207996
вв	41	0,000473769
вг	45	0,000519991
вд	82	0,000947539
ве	600	0,00693321
вж	3	0,000034666
вз	38	0,000439103
ви	360	0,00415993
вк	55	0,000635544
вл	143	0,00165242
вм	40	0,000462214
вн	229	0,00264618
во	824	0,00952161
вп	63	0,000727987
вр	96	0,00110931
вс	443	0,00511902
вт	57	0,000658655
ву	86	0,00099376
вх	9	0,000103998
вц	4	0,0000462214
вч	16	0,000184886
вш	77	0,000889762
вщ	1	0,0000115554
вы	261	0,00301595
вь	21	0,000242662
вэ	17	0,000196441
вя	26	0,000300439
га	101	0,00116709
гв	8	0,0000924428
гг	1	0,0000115554
гд	80	0,000924428
ге	77	0,000889762
гж	2	0,0000231107
гз	3	0,000034666
ги	127	0,00146753
гк	10	0,000115553
гл	134	0,00154842
гм	6	0,0000693321
гн	25	0,000288884
го	877	0,010134
гп	6	0,0000693321
гр	119	0,00137509
гс	6	0,0000693321
гу	50	0,000577767
гч	3	0,000034666
гэ	2	0,0000231107
гю	1	0,0000115554
да	391	0,00451814
дб	3	0,000034666
дв	72	0,000831985
дг	5	0,0000577767
дд	4	0,0000462214
де	478	0,00552346
дж	3	0,000034666
дз	7	0,0000808875
ди	247	0,00285417
дк	20	0,000231107
дл	99	0,00114398
дм	3	0,000034666
дн	211	0,00243818
до	352	0,00406748
дп	8	0,0000924428
др	181	0,00209152
дс	52	0,000600878
дт	22	0,000254218
ду	170	0,00196441
дх	4	0,0000462214
дц	15	0,00017333
дч	10	0,000115553
дш	9	0,000103998
дъ	9	0,000103998
ды	67	0,000774208
дь	32	0,000369771
дэ	2	0,0000231107
дю	2	0,0000231107
дя	33	0,000381327
еа	34	0,000392882
еб	195	0,00225329
ев	321	0,00370927
ег	351	0,00405593
ед	342	0,00395193
ее	220	0,00254218
еж	137	0,00158308
ез	196	0,00226485
еи	146	0,00168708
ей	265	0,00306217
ек	205	0,00236885
ел	592	0,00684077
ем	496	0,00573145
ен	1 077	0,0124451
ео	184	0,00212618
еп	300	0,0034666
ер	710	0,0082043
ес	632	0,00730298
ет	469	0,00541946
еу	61	0,000704876
еф	12	0,000138664
ех	97	0,00112087
ец	27	0,000311994
еч	173	0,00199908
еш	65	0,000751098
ещ	61	0,000704876
еэ	25	0,000288884
ею	34	0,000392882
ея	54	0,000623989
жа	114	0,00131731
жб	9	0,000103998
жв	3	0,000034666
жд	111	0,00128264
же	348	0,00402126
жж	1	0,0000115554
жи	187	0,00216085
жк	15	0,00017333
жм	3	0,000034666
жн	94	0,0010862
жо	4	0,0000462214
жп	1	0,0000115554
жс	2	0,0000231107
жт	2	0,0000231107
жу	11	0,000127109
жч	6	0,0000693321
жь	1	0,0000115554
жю	2	0,0000231107
жя	2	0,0000231107
за	481	0,00555812
зб	18	0,000207996
зв	90	0,00103998
зг	45	0,000519991
зд	68	0,000785764
зе	47	0,000543101
зж	11	0,000127109
зз	6	0,0000693321
зи	48	0,000554657
зк	22	0,000254218
зл	35	0,000404437
зм	28	0,00032355
зн	268	0,00309683
зо	64	0,000739542
зп	19	0,000219552
зр	26	0,000300439
зс	26	0,000300439
зт	6	0,0000693321
зу	49	0,000566212
зф	1	0,0000115554
зх	1	0,0000115554
зц	3	0,000034666
зч	3	0,000034666
зш	1	0,0000115554
зы	38	0,000439103
зь	69	0,000797319
зэ	10	0,000115553
зю	6	0,0000693321
зя	47	0,000543101
иа	28	0,00032355
иб	103	0,0011902
ив	422	0,00487636
иг	120	0,00138664
ид	216	0,00249596
ие	325	0,00375549
иж	46	0,000531546
из	342	0,00395193
ии	184	0,00212618
ий	138	0,00159464
ик	298	0,00344349
ил	460	0,00531546
им	392	0,0045297
ин	516	0,00596256
ио	163	0,00188352
ип	231	0,00266929
ир	187	0,00216085
ис	446	0,00515369
ит	433	0,00500347
иу	46	0,000531546
иф	7	0,0000808875
их	207	0,00239196
иц	125	0,00144442
ич	182	0,00210307
иш	49	0,000566212
ищ	7	0,0000808875
иъ	1	0,0000115554
иэ	36	0,000415993
ию	36	0,000415993
ия	224	0,0025884
й 	1	0,0000115554
йа	20	0,000231107
йб	33	0,000381327
йв	109	0,00125953
йг	27	0,000311994
йд	54	0,000623989
йе	13	0,00015022
йж	26	0,000300439
йз	15	0,00017333
йи	55	0,000635544
йк	76	0,000878207
йл	20	0,000231107
йм	62	0,000716432
йн	169	0,00195285
йо	58	0,00067021
йп	110	0,00127109
йр	44	0,000508435
йс	169	0,00195285
йт	66	0,000762653
йу	28	0,00032355
йф	9	0,000103998
йх	6	0,0000693321
йц	4	0,0000462214
йч	33	0,000381327
йш	10	0,000115553
йэ	5	0,0000577767
йю	1	0,0000115554
йя	8	0,0000924428
ка	700	0,00808875
кб	29	0,000335105
кв	46	0,000531546
кг	7	0,0000808875
кд	16	0,000184886
ке	44	0,000508435
кж	13	0,00015022
кз	2	0,0000231107
ки	277	0,00320083
кк	18	0,000207996
кл	42	0,000485325
км	11	0,000127109
кн	191	0,00220707
ко	852	0,00984516
кп	30	0,00034666
кр	162	0,00187197
кс	40	0,000462214
кт	68	0,000785764
ку	137	0,00158308
кх	6	0,0000693321
кц	3	0,000034666
кч	8	0,0000924428
кш	1	0,0000115554
кэ	9	0,000103998
кю	2	0,0000231107
кя	2	0,0000231107
ла	630	0,00727987
лб	18	0,000207996
лв	65	0,000751098
лг	20	0,000231107
лд	26	0,000300439
ле	455	0,00525768
лж	28	0,00032355
лз	14	0,000161775
ли	663	0,0076612
лк	119	0,00137509
лл	17	0,000196441
лм	8	0,0000924428
лн	85	0,000982205
ло	604	0,00697943
лп	61	0,000704876
лр	15	0,00017333
лс	251	0,00290039
лт	18	0,000207996
лу	110	0,00127109
лф	3	0,000034666
лх	2	0,0000231107
лц	1	0,0000115554
лч	30	0,00034666
лш	1	0,0000115554
лы	83	0,000959094
ль	402	0,00464525
лэ	7	0,0000808875
лю	161	0,00186041
ля	184	0,00212618
ма	251	0,00290039
мб	41	0,000473769
мв	73	0,000843541
мг	32	0,000369771
мд	40	0,000462214
ме	348	0,00402126
мж	7	0,0000808875
мз	12	0,000138664
ми	470	0,00543101
мк	47	0,000543101
мл	33	0,000381327
мм	29	0,000335105
мн	188	0,00217241
мо	384	0,00443725
мп	89	0,00102843
мр	23	0,000265773
мс	86	0,00099376
мт	35	0,000404437
му	231	0,00266929
мф	2	0,0000231107
мх	9	0,000103998
мц	4	0,0000462214
мч	33	0,000381327
мш	3	0,000034666
мы	86	0,00099376
мь	12	0,000138664
мэ	8	0,0000924428
мя	41	0,000473769
на	1 063	0,0122833
нб	26	0,000300439
нв	37	0,000427548
нг	27	0,000311994
нд	90	0,00103998
не	839	0,00969494
нж	2	0,0000231107
нз	4	0,0000462214
ни	920	0,0106309
нк	36	0,000415993
нл	8	0,0000924428
нм	7	0,0000808875
нн	541	0,00625144
но	1 064	0,0122949
нп	53	0,000612434
нр	29	0,000335105
нс	123	0,00142131
нт	99	0,00114398
ну	254	0,00293506
нф	5	0,0000577767
нх	3	0,000034666
нц	45	0,000519991
нч	32	0,000369771
нщ	21	0,000242662
ны	480	0,00554657
нь	115	0,00132887
нэ	4	0,0000462214
ню	17	0,000196441
ня	300	0,0034666
оа	23	0,000265773
об	492	0,00568523
ов	1 030	0,011902
ог	611	0,00706032
од	583	0,00673677
ое	333	0,00384793
ож	189	0,00218396
оз	160	0,00184886
ои	251	0,00290039
ой	569	0,00657499
ок	229	0,00264618
ол	685	0,00791541
ом	556	0,00642477
он	802	0,00926739
оо	179	0,00206841
оп	315	0,00363994
ор	651	0,00752253
ос	907	0,0104807
от	718	0,00829674
оу	44	0,000508435
оф	43	0,00049688
ох	63	0,000727987
оц	26	0,000300439
оч	207	0,00239196
ош	91	0,00105154
ощ	17	0,000196441
оэ	45	0,000519991
ою	54	0,000623989
оя	101	0,00116709
па	114	0,00131731
пб	3	0,000034666
пв	1	0,0000115554
пе	205	0,00236885
пи	99	0,00114398
пк	5	0,0000577767
пл	70	0,000808874
пн	11	0,000127109
по	840	0,00970649
пп	17	0,000196441
пр	585	0,00675988
пс	2	0,0000231107
пт	4	0,0000462214
пу	55	0,000635544
пч	3	0,000034666
пы	25	0,000288884
пь	73	0,000843541
пя	22	0,000254218
ра	890	0,0102843
рб	28	0,00032355
рв	47	0,000543101
рг	29	0,000335105
рд	30	0,00034666
ре	637	0,00736076
рж	42	0,000485325
рз	3	0,000034666
ри	472	0,00545413
рк	20	0,000231107
рл	10	0,000115553
рм	27	0,000311994
рн	75	0,000866651
ро	707	0,00816963
рп	20	0,000231107
рр	5	0,0000577767
рс	38	0,000439103
рт	78	0,000901317
ру	269	0,00310839
рф	2	0,0000231107
рх	15	0,00017333
рц	7	0,0000808875
рч	13	0,00015022
рш	30	0,00034666
рщ	3	0,000034666
ръ	1	0,0000115554
ры	119	0,00137509
рь	40	0,000462214
рэ	3	0,000034666
рю	17	0,000196441
ря	90	0,00103998
са	176	0,00203374
сб	18	0,000207996
св	233	0,0026924
сг	9	0,000103998
сд	33	0,000381327
се	406	0,00469147
сж	12	0,000138664
сз	1	0,0000115554
си	152	0,00175641
ск	542	0,006263
сл	237	0,00273862
см	115	0,00132887
сн	95	0,00109776
со	309	0,0035706
сп	140	0,00161775
ср	47	0,000543101
сс	139	0,00160619
ст	1 327	0,0153339
су	94	0,0010862
сф	6	0,0000693321
сх	29	0,000335105
сц	8	0,0000924428
сч	33	0,000381327
сш	6	0,0000693321
сы	35	0,000404437
сь	278	0,00321239
сэ	2	0,0000231107
сю	16	0,000184886
ся	237	0,00273862
сё	1	0,0000115554
та	502	0,00580079
тб	24	0,000277328
тв	418	0,00483014
тг	9	0,000103998
тд	28	0,00032355
те	575	0,00664433
тж	7	0,0000808875
тз	11	0,000127109
ти	468	0,0054079
тк	63	0,000727987
тл	32	0,000369771
тм	16	0,000184886
тн	180	0,00207996
то	1 308	0,0151144
тп	49	0,000566212
тр	250	0,00288884
тс	130	0,0015022
тт	35	0,000404437
ту	128	0,00147908
тф	5	0,0000577767
тх	3	0,000034666
тц	9	0,000103998
тч	23	0,000265773
тш	3	0,000034666
тщ	3	0,000034666
тъ	1	0,0000115554
ты	143	0,00165242
ть	471	0,00544257
тэ	2	0,0000231107
тя	40	0,000462214
уа	18	0,000207996
уб	86	0,00099376
ув	131	0,00151375
уг	131	0,00151375
уд	182	0,00210307
уе	17	0,000196441
уж	130	0,0015022
уз	54	0,000623989
уи	45	0,000519991
уй	13	0,00015022
ук	93	0,00107465
ул	111	0,00128264
ум	128	0,00147908
ун	84	0,000970649
уо	41	0,000473769
уп	101	0,00116709
ур	76	0,000878207
ус	201	0,00232263
ут	179	0,00206841
уу	11	0,000127109
уф	2	0,0000231107
ух	60	0,000693321
уц	3	0,000034666
уч	89	0,00102843
уш	77	0,000889762
ущ	27	0,000311994
уэ	5	0,0000577767
ую	139	0,00160619
уя	10	0,000115553
фа	13	0,00015022
фб	1	0,0000115554
фв	3	0,000034666
фе	8	0,0000924428
фи	45	0,000519991
фк	1	0,0000115554
фл	4	0,0000462214
фн	1	0,0000115554
фо	11	0,000127109
фр	25	0,000288884
фс	3	0,000034666
фт	1	0,0000115554
фу	3	0,000034666
фф	1	0,0000115554
фы	4	0,0000462214
ха	61	0,000704876
хб	11	0,000127109
хв	47	0,000543101
хг	21	0,000242662
хд	21	0,000242662
хе	14	0,000161775
хж	10	0,000115553
хз	8	0,0000924428
хи	47	0,000543101
хк	26	0,000300439
хл	11	0,000127109
хм	18	0,000207996
хн	42	0,000485325
хо	268	0,00309683
хп	64	0,000739542
хр	21	0,000242662
хс	59	0,000681766
хт	16	0,000184886
ху	40	0,000462214
хф	4	0,0000462214
хц	1	0,0000115554
хч	12	0,000138664
хэ	11	0,000127109
хя	4	0,0000462214
ца	75	0,000866651
цв	12	0,000138664
цг	1	0,0000115554
це	85	0,000982205
цж	1	0,0000115554
ци	72	0,000831985
цк	9	0,000103998
цл	1	0,0000115554
цм	1	0,0000115554
цн	5	0,0000577767
цо	36	0,000415993
цп	2	0,0000231107
цс	5	0,0000577767
цт	5	0,0000577767
цу	25	0,000288884
цы	3	0,000034666
ця	1	0,0000115554
ча	220	0,00254218
чв	5	0,0000577767
чг	1	0,0000115554
чд	1	0,0000115554
че	354	0,00409059
чи	157	0,00181419
чк	31	0,000358216
чл	2	0,0000231107
чм	1	0,0000115554
чн	88	0,00101687
чо	3	0,000034666
чп	1	0,0000115554
чр	2	0,0000231107
чт	258	0,00298128
чу	58	0,00067021
чш	11	0,000127109
чь	16	0,000184886
ша	86	0,00099376
шв	3	0,000034666
ше	194	0,00224174
ши	129	0,00149064
шк	37	0,000427548
шл	31	0,000358216
шм	1	0,0000115554
шн	40	0,000462214
шо	24	0,000277328
шп	2	0,0000231107
шс	1	0,0000115554
шт	5	0,0000577767
шу	18	0,000207996
шь	27	0,000311994
ща	38	0,000439103
ще	142	0,00164086
щи	89	0,00102843
щн	2	0,0000231107
що	1	0,0000115554
щр	1	0,0000115554
щу	18	0,000207996
щь	3	0,000034666
ъе	9	0,000103998
ъо	2	0,0000231107
ъю	3	0,000034666
ъя	8	0,0000924428
ыа	4	0,0000462214
ыб	68	0,000785764
ыв	132	0,00152531
ыг	30	0,00034666
ыд	22	0,000254218
ые	127	0,00146753
ыж	3	0,000034666
ыз	14	0,000161775
ыи	60	0,000693321
ый	156	0,00180263
ык	38	0,000439103
ыл	183	0,00211463
ым	205	0,00236885
ын	70	0,000808874
ыо	41	0,000473769
ып	41	0,000473769
ыр	31	0,000358216
ыс	118	0,00136353
ыт	89	0,00102843
ыу	5	0,0000577767
ыф	1	0,0000115554
ых	140	0,00161775
ыц	2	0,0000231107
ыч	10	0,000115553
ыш	31	0,000358216
ыэ	4	0,0000462214
ыя	5	0,0000577767
ьа	35	0,000404437
ьб	43	0,00049688
ьв	116	0,00134042
ьг	21	0,000242662
ьд	25	0,000288884
ье	182	0,00210307
ьж	11	0,000127109
ьз	28	0,00032355
ьи	71	0,00082043
ьк	150	0,0017333
ьл	17	0,000196441
ьм	42	0,000485325
ьн	245	0,00283106
ьо	55	0,000635544
ьп	72	0,000831985
ьр	24	0,000277328
ьс	142	0,00164086
ьт	48	0,000554657
ьу	23	0,000265773
ьф	3	0,000034666
ьх	10	0,000115553
ьц	1	0,0000115554
ьч	37	0,000427548
ьш	44	0,000508435
ьщ	2	0,0000231107
ьэ	16	0,000184886
ью	32	0,000369771
ья	50	0,000577767
эг	4	0,0000462214
эз	2	0,0000231107
эк	1	0,0000115554
эл	7	0,0000808875
эм	8	0,0000924428
эн	5	0,0000577767
эп	15	0,00017333
эс	1	0,0000115554
эт	216	0,00249596
юа	3	0,000034666
юб	68	0,000785764
юв	42	0,000485325
юг	11	0,000127109
юд	49	0,000566212
юе	6	0,0000693321
юж	17	0,000196441
юз	11	0,000127109
юи	35	0,000404437
юк	29	0,000335105
юл	16	0,000184886
юм	18	0,000207996
юн	24	0,000277328
юо	11	0,000127109
юп	33	0,000381327
юр	13	0,00015022
юс	43	0,00049688
ют	37	0,000427548
юу	7	0,0000808875
юф	2	0,0000231107
юх	4	0,0000462214
юц	7	0,0000808875
юч	28	0,00032355
юш	2	0,0000231107
ющ	55	0,000635544
юэ	3	0,000034666
юю	4	0,0000462214
юя	3	0,000034666
яа	30	0,00034666
яб	46	0,000531546
яв	155	0,00179108
яг	63	0,000727987
яд	79	0,000912873
яе	31	0,000358216
яж	38	0,000439103
яз	117	0,00135198
яи	94	0,0010862
яй	1	0,0000115554
як	86	0,00099376
ял	105	0,00121331
ям	80	0,000924428
ян	184	0,00212618
яо	76	0,000878207
яп	128	0,00147908
яр	30	0,00034666
яс	171	0,00197596
ят	185	0,00213774
яу	34	0,000392882
яф	9	0,000103998
ях	27	0,000311994
яц	4	0,0000462214
яч	36	0,000415993
яш	7	0,0000808875
ящ	25	0,000288884
яэ	17	0,000196441
яю	11	0,000127109
яя	24	0,000277328
ёв	1	0,0000115554
ёз	1	0,0000115554
